LIFESTAGE,PREMIUM_CUSTOMER,PROD_NAME,TOT_SALES
YOUNG FAMILIES,Budget,CobsPopdSeaSaltChips110g,1717.6
RETIREES,Mainstream,ThinsChipsSaltVinegar175g,1709.3999999999999
RETIREES,Mainstream,CobsPopdSourCrmChivesChips110g,1698.6
OLDER SINGLES/COUPLES,Budget,DoritosCornChipMexicanJalapeno150g,1684.8
RETIREES,Budget,TostitosSmokedChipotle175g,1676.4
RETIREES,Mainstream,ThinsChipsLightTangy175g,1673.1
RETIREES,Budget,DoritosCornChipsOriginal170g,1667.6000000000001
YOUNG SINGLES/COUPLES,Mainstream,ThinsChipsSeasonedchicken175g,1666.5
OLDER SINGLES/COUPLES,Mainstream,DoritosCornChipMexicanJalapeno150g,1665.3
OLDER SINGLES/COUPLES,Premium,DoritosCornChipsNachoCheese170g,1650.0000000000002
YOUNG SINGLES/COUPLES,Mainstream,ThinsChipsLightTangy175g,1650.0
RETIREES,Budget,DoritosCornChipSouthernChicken150g,1649.7
OLDER SINGLES/COUPLES,Mainstream,CobsPopdSwtChlliSrCreamChips110g,1645.3999999999999
RETIREES,Premium,SmithsCrinkleChipsSaltVinegar330g,1641.6000000000001
YOUNG FAMILIES,Budget,DoritosCornChipMexicanJalapeno150g,1630.2
OLDER SINGLES/COUPLES,Budget,ThinsChipsSaltVinegar175g,1623.6
OLDER SINGLES/COUPLES,Budget,CobsPopdSourCrmChivesChips110g,1615.0
OLDER FAMILIES,Budget,ThinsChipsSeasonedchicken175g,1603.8
RETIREES,Mainstream,ThinsChipsSeasonedchicken175g,1600.5
OLDER FAMILIES,Budget,ThinsChipsSaltVinegar175g,1590.6
OLDER SINGLES/COUPLES,Budget,CobsPopdSwtChlliSrCreamChips110g,1588.3999999999999
OLDER SINGLES/COUPLES,Premium,CobsPopdSwtChlliSrCreamChips110g,1588.3999999999999
OLDER SINGLES/COUPLES,Mainstream,DoritosCornChipSouthernChicken150g,1587.3
OLDER SINGLES/COUPLES,Mainstream,CobsPopdSourCrmChivesChips110g,1584.6
OLDER FAMILIES,Budget,ThinsChipsLightTangy175g,1580.6999999999998
YOUNG FAMILIES,Mainstream,SmithsCrinkleChipsSaltVinegar330g,1567.5
YOUNG SINGLES/COUPLES,Mainstream,ThinsChipsSaltVinegar175g,1564.1999999999998
RETIREES,Budget,CobsPopdSeaSaltChips110g,1550.3999999999999
RETIREES,Budget,DoritosCornChipsCheeseSupreme170g,1544.4
OLDER SINGLES/COUPLES,Premium,CobsPopdSeaSaltChips110g,1531.3999999999999
OLDER SINGLES/COUPLES,Mainstream,ThinsChipsSeasonedchicken175g,1531.1999999999998
OLDER SINGLES/COUPLES,Premium,ThinsChipsSeasonedchicken175g,1527.8999999999999
OLDER SINGLES/COUPLES,Budget,ThinsChipsSeasonedchicken175g,1521.3
OLDER SINGLES/COUPLES,Premium,DoritosCornChipMexicanJalapeno150g,1513.2
OLDER SINGLES/COUPLES,Premium,CobsPopdSourCrmChivesChips110g,1493.3999999999999
MIDAGE SINGLES/COUPLES,Mainstream,DoritosCornChipsNachoCheese170g,1491.6000000000001
RETIREES,Budget,CobsPopdSwtChlliSrCreamChips110g,1489.6
OLDER SINGLES/COUPLES,Budget,ThinsChipsLightTangy175g,1485.0
YOUNG FAMILIES,Premium,SmithsCrinkleChipsSaltVinegar330g,1470.6000000000001
RETIREES,Premium,TostitosSmokedChipotle175g,1465.2
OLDER FAMILIES,Premium,SmithsCrinkleChipsSaltVinegar330g,1464.9
OLDER FAMILIES,Mainstream,DoritosCornChipsNachoCheese170g,1452.0000000000002
MIDAGE SINGLES/COUPLES,Mainstream,TostitosSmokedChipotle175g,1447.6000000000001
OLDER SINGLES/COUPLES,Premium,ThinsPotatoChipsHotSpicy175g,1435.5
RETIREES,Budget,DoritosCornChipMexicanJalapeno150g,1435.2
YOUNG FAMILIES,Premium,SmithsCrnkleChipOrgnlBigBag380g,1433.7
OLDER SINGLES/COUPLES,Premium,ThinsChipsLightTangy175g,1419.0
YOUNG FAMILIES,Budget,CobsPopdSourCrmChivesChips110g,1398.3999999999999
RETIREES,Premium,DoritosCornChipsOriginal170g,1390.4
YOUNG FAMILIES,Budget,CobsPopdSwtChlliSrCreamChips110g,1387.0
RETIREES,Budget,ThinsChipsLightTangy175g,1379.3999999999999
OLDER FAMILIES,Mainstream,TostitosSmokedChipotle175g,1364.0
OLDER SINGLES/COUPLES,Mainstream,ThinsPotatoChipsHotSpicy175g,1362.8999999999999
YOUNG FAMILIES,Mainstream,TostitosSmokedChipotle175g,1346.4
OLDER SINGLES/COUPLES,Mainstream,ThinsChipsSaltVinegar175g,1346.3999999999999
YOUNG FAMILIES,Budget,ThinsPotatoChipsHotSpicy175g,1343.1
OLDER FAMILIES,Mainstream,CobsPopdSourCrmChivesChips110g,1337.6
YOUNG FAMILIES,Budget,ThinsChipsSaltVinegar175g,1326.6
YOUNG FAMILIES,Budget,ThinsChipsSeasonedchicken175g,1320.0
OLDER FAMILIES,Mainstream,DoritosCornChipMexicanJalapeno150g,1318.2
